Original_Text,Translated_Text
"Me gustó el lugar, la habitación no es grande pero tiene todo lo necesario. La ubicación si es excelente, cerca a metro, monorriel, restaurantes, de todo.","I liked the place, the room is not big but it has everything you need. The location is excellent, close to the subway, monorail, restaurants, everything."
"1. Bilik memang betul-betul hotel bajet. Tapi dengan harga yang dikenakan, jangkaan saya turun bila dapat bilik dengan saiz yg kecil beserta bilik air begitu. 2. Saiz katil untuk orang tinggi tidak sesuai. Tapi masih selesai untuk tidur. 3. Television tak boleh fungsi. 4. Wifi sangat lemah. Mobile data rendah dekat dalam bilik, hanya harapkan wifi tapi connection sangat lemah. 5. Parkir terbuka agak jauh. Visitor kena jalan sedikit. 6. Dekat dengan kawasan tarikan yang lain, boleh berjalan kaki. 7. Pintu bilik tak kedap bunyi. Rasa insecure dengan orang lalu lalang depan bilik.","1. The room is really a budget hotel. But with the price charged, my expectations go down when I get a room with a small size and a bathroom like that. 2. Bed size for tall people is not suitable. But still ready to sleep. 3. Television cannot function. 4. Wifi is very weak. Mobile data is low near the room, just expect wifi but the connection is very weak. 5. Open parking is quite far away. Visitors have to walk a bit. 6. Close to other attractions, can walk. 7. The room door is not soundproof. Feeling insecure with people passing by in front of the room."
everything is okay… -mrs sabrina,everything is okay… -mrs sabrina
"Bersih selamat, berbaloi dengan harga","Clean, safe, worth the price"
Thank you miss Tanjina,Thank you miss Tanjina
Thanks nafis,Thanks nafis
Staff friendly..bilik bersih.,Friendly staff..clean room.
"letak hotel strategis, dekat kemana mana","The location of the hotel is strategic, close to everywhere"
bilik cantik lagi jimat,beautiful room yet economical
housekeeping doing job very well,housekeeping doing job very well
Nafis very hard working,Nafis very hard working
Emplacement bien. Équipements correct. C'est très petit mais si c'est que pour dormir ça va. Budget accessible qui correspond. Je valide.,Location good. Correct equipment. It's very small but if it's just for sleeping it's fine. Accessible budget that matches. I validate.
"Hotel murah, selesa utk siapa yg pilih bajet hotel..kemudahan smua dkt monorail/lrt kedai mkn dsb...recommended sgt siapa yg ddk sni...ni da kli 2 booked 🤩😍","A cheap, comfortable hotel for those who choose a budget hotel.. all facilities are near the monorail/lrt, restaurants, etc... highly recommended for those who are not here... here and now 2 booked 🤩😍"
Semua baik,Everything is fine
Lokasi sangat strategis. Staff sangat ramah.,Very strategic location. The staff is very friendly.
"harga berbaloi, dekat pergi mana mana, bising tdur malam, sebab ada orang kerja, sangat kecik bilik but ok","worth the price, close to go anywhere, noisy at night, because there are people working, very small room but ok"
"Tempat yg best utk stay n location pun senang nk cari ,customer service pun semua baik2 🥰🥰🥰","The best place to stay and the location is easy to find, and the customer service is all good"
Thanks Moinul,Thanks Moinul
