Review_Text,Detected_Language,Translated_Text,Sentiment
Aircond tak berfungsi. Bilik tidak di bersihkan walaupun beberapa kali minta bagitahu cleaner.,id,Aircond is not working. The room was not cleaned even after asking the cleaner several times.,negative
TV DI BILIK SAYA LANGSUNG TAK BERFUNGSI. DICADANGKAN BILIK DIPASTIKAN BERFUNGSI TV NYA,id,THE TV IN MY ROOM DIDN'T WORK. RECOMMENDED ROOM ENSURE THE TV WORKS,negative
1st hotel pilihan jika ke KL,sl,1st choice hotel if going to KL,neutral
Aircond perlu diservis semula oleh pihak hotel kerana beberapa bilik yg pernah duduk mmg dapat aircond yg sgt tidak sejuk.Pihak hotel juga telah memberi kipas agar tidak panas.Overall ok,id,The aircond needs to be serviced again by the hotel because some of the rooms that have been used have aircond that is not very cold. The hotel has also provided a fan to keep it from getting hot. Overall ok,neutral
"Bilik sy sbnrnya bilik express tp sbb sy smpi KL Sentral hmpir pkul 6.00pg staf kta bilik sy xde tu dia upgrade jd eksekutif room.Rezeki sy. ..Tu dpt view menara 118 dgn lrt...bilik luas...puas ht...jln kaki 2 min dr KL Sentral smpi dh hotel.Area hotel byk kedai mkn...Kedai mamak Bistro,econsave,dobi dll...smua dkt..klo smpi lewat mlm pn x tkut sbb ramai org...check out pkul 1.00 ptg.Okla.Spe nk bg.Biasanya check out pkul 12.00 tgh hr.Bilik ada tv ada channel kartun dn movie,ada fridge..jika ada rezeki nnt sy dtg lg...",id,"My room is actually an express room, but because I got to KL Sentral around 6.00am, the staff in my room was not there, he upgraded to an executive room. My fortune. ..You get a view of the 118 tower with the floor...spacious room...satisfied...walk 2 minutes from KL Sentral to the hotel.There are many restaurants in the hotel area...Mamak shop, Bistro, econsave, laundromat etc...everything is close..if you arrive late at night you won't be there because there are many people...check out at 1.00 pm. Okla. I want to give. Usually check out at 12.00 pm hr. The room has a TV, cartoon and movie channels, there is a fridge.. if there is any luck, I will come again...",neutral
"Checkin cepat, tapi bilik penuh dengan ulat habuk @ ulat simen @ Plaster Bagworm…. Paling banyak atas siling belah kepala katil, atas siling dalam bilik mandi… atas tilam pun ada. Mula2 tak perasan sebab checkin lewat malam dan letih. The next day perasan sangat banyak seolah2 bilik ni tak pernah di vacuum… nampak kemas, tapi berhabuk. Book twin bed, means ada 2 orang.. tapi cawan satu. Takda tuala atau floormate, keluar bilik air je basah la lantai.. Ada nyamuk plak tu dlm bilik. I dah bunuh 2 ekor, still ada lagi, tak larat nak kejar.. Checkin was easy and smooth Kat G floor ada KMart Parking basement rm2.20 sejam!",id,"Checkin was quick, but the room was full of dust worms @ cement worms @ Plaster Bagworms…. Most on the ceiling above the head of the bed, on the ceiling in the bathroom... even on the mattress. I didn't notice at first because I checked in late at night and I was tired. The next day I noticed a lot as if these rooms had never been vacuumed... they looked neat, but they were dusty. Book twin bed, means there are 2 people.. but one cup. There are no towels or floor mats, just go out of the bathroom and the floor is wet.. There are mosquitoes in the room. I've already killed 2, there are still more, it's hard to chase.. Checkin was easy and smooth on the G floor, there is a KMart Parking basement rm2.20 per hour!",neutral
Kawasan yang serabut. Cari parking serabut. Nak tunggu lif lambat dah tu panas pulak. Dpt rumah yg seram. Book 2 malam stay 1 malam je.,id,"Difficult area. Finding parking is difficult. If you want to wait for the slow elevator, it's already hot. Got a scary house. Book 2 nights stay 1 night only.",neutral
"Kedudukan yang baik dan mudah akses dengan grab, LRT dan sebagainya.",id,"Good location and easy access by grab, LRT and so on.",neutral
"Mengalami gatal-gatal pada badan, bantal yang berbau",id,"Experiencing itching on the body, smelly pillows",neutral
Please do not stay here. Bagi bilik TV rosak. 2 jam tunggu dari 11 malam untill 1 pagi still tak ok. Minta refund tak Nak bg. Last dapat tukar bilik jam 2 pagi. Deposit Rm300 staff inform refund dalam 24 hours tapi tak dapat refund! After 24jam call berkali kali no answer. After inform will report police then Baru dapat deposit.,id,"Please don't stay here. The TV booth was broken. 2 hour wait from 11pm untill 1am still not ok. Ask for a refund, don't share it. Last time you can change rooms at 2 am. Deposit Rm300 staff inform refund within 24 hours but no refund! After 24 hours calling several times no answer. After informing will report police then get deposit.",neutral
"Saya setiap kali jika travel ke KL akan menginap disini kerana berhampiran dengan banyak kemudahan seperti pengangkutan, Mall dan kedai makan. Hotel ini jugak lebih pravicy",id,"Every time I travel to KL I will stay here because it is close to many facilities such as transport, malls and restaurants. This hotel is also more pravicy",neutral
Semua ok 👍🏻 kecuali aircon dalam bilik suhu 20 degree tapi rasa macam 25-26 degree sahaja… Iron rosak 2x saya minta tukar… the 3rd one baru ok 😅 yang lain ok 👍🏻 suggestion buat PPM berkala untuk peralatan elektrik dalam bilik… 4/5 ⭐️ That’s all and TQ 😊,id,Everything is ok 👍🏻 except the aircon in the room temperature is 20 degrees but it feels like 25-26 degrees only... The iron is broken 2x I asked to change it... the 3rd one is new ok 😅 the others are ok 👍🏻 suggestion to do periodic PPM for electrical equipment in the room... 4/5 ⭐️ That's all and TQ 😊,neutral
Sengnaja mencari kesalahaan untuk mencuri wang deposit pelanggan.,id,Deliberately looking for fault to steal customer deposit money.,neutral
"Staff bangla dekat reception agak tidak membantu, bilik ok, cuma lift cuma buka 1.. lambat.. lain2 ok",id,"Bangla staff near the reception is a bit unhelpful, the room is ok, only the elevator only opens 1.. slow.. the rest are ok",neutral
TV x Boleh tgk Keadaan sekeliling x MEMUASKAN,id,Can't watch TV. Surroundings are not SATISFACTORY,neutral
Terbaikkkk.. Semua nya ok,id,Best.. Everything is ok,neutral
Unexpected..Price murah tapi sgt cantik. Bilik level 11 mmg view cntik. Kna chck out sblm jam 12 if smbung ada chrges sebanyak RM 50. 1.10 minit je akan ada trus chrges no 2.. so total su bayar RM 100. So take note ye guys.. overall ok..,id,Unexpected.. Cheap price but very beautiful. Room level 11 has a beautiful view. Please check out before 12 o'clock if there is still a charge of RM 50. In 1.10 minutes there will be charge no. 2.. so in total I pay RM 100. So take note guys.. overall ok..,neutral
okay skrg dah ada counter check in check out kat bawah..senang..depo rm100,id,okay now there is a check in check out counter below..easy..deposit rm100,neutral
parking je dkt situ kena byr sendiri and mahal,id,Even parking near there has to be paid for by yourself and is expensive,neutral
"tiada tempat nak parking, sangat sunyi, tidak mesra alam",id,"no place to park, very quiet, not environmentally friendly",neutral
"bilik selesa untuk keluarga, bersih, staff yang friendly, setiap aduan cepat bertindak, anak-anak seronok. Cuma jika peak season, penuh dengan foreigners",id,"comfortable room for families, clean, friendly staff, every complaint is acted upon quickly, children have fun. Only if it's peak season, full of foreigners",positive
dapat harga murah besar berbaloi,id,get a great cheap price worth it,positive
murah bersih berbaloi byk kedai mkn nearby central,id,"cheap, clean, worth it, many restaurants nearby central",positive
