Review_Text,Detected_Language,Translation_Applied,Translated_Text,Cleaned_Text,BERT_Text,Sentiment,Label_ID,Word_Count,no,source,location,Confidence,Positive Score,Negative Score,Reason / Notes,Aspect(s),Risk Type(s),Traveller Suitability,Hotel Improvement Insight
"5mins walk to Pavillion, good sour dough sandwich cafe just below, the service NaiBnB provided was excellent. - Photo taken from living room window.",translation_package_not_installed,False,"5mins walk to Pavillion, good sour dough sandwich cafe just below, the service NaiBnB provided was excellent. - Photo taken from living room window.",mins walk to pavillion good sour dough sandwich cafe just below the service naibnb provided was excellent photo taken from living room window,"5mins walk to Pavillion, good sour dough sandwich cafe just below, the service NaiBnB provided was excellent. - Photo taken from living room window.",positive,2,23,180,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,7.0,0.0,"Positive indicators: excellent, good",Service,Service Risk,General traveller suitability,Improve front desk/staff service training
Apartment is clean and well furnished. I really enjoy staying there and will return if I come back to KL. The staff are very attentive and respond quickly with any minor complaint in the apt.,translation_package_not_installed,False,Apartment is clean and well furnished. I really enjoy staying there and will return if I come back to KL. The staff are very attentive and respond quickly with any minor complaint in the apt.,apartment is clean and well furnished i really enjoy staying there and will return if i come back to kl the staff are very attentive and respond quickly with any minor complaint in the apt,Apartment is clean and well furnished. I really enjoy staying there and will return if I come back to KL. The staff are very attentive and respond quickly with any minor complaint in the apt.,positive,2,35,177,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,6.0,0.0,"Positive indicators: clean, enjoy",Cleanliness; Service,No major risk detected,General traveller suitability,No major improvement issue detected
"Aside from wifi , water drainage and no condiments..the rest is exceptional. The room is very asthetically beautiful and clean.",translation_package_not_installed,False,"Aside from wifi , water drainage and no condiments..the rest is exceptional. The room is very asthetically beautiful and clean.",aside from wi fi water drainage and no condiments the rest is exceptional the room is very asthetically beautiful and clean,"Aside from wi fi , water drainage and no condiments..the rest is exceptional. The room is very asthetically beautiful and clean.",positive,2,21,206,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,7.0,0.0,"Positive indicators: beautiful, clean",Cleanliness; Facilities,No major risk detected,General traveller suitability,No major improvement issue detected
Best place to stay in KL. Walking Distance to all the best tourist attractions. Value for Money,translation_package_not_installed,False,Best place to stay in KL. Walking Distance to all the best tourist attractions. Value for Money,best place to stay in kl walking distance to all the best tourist attractions value for money,Best place to stay in KL. Walking Distance to all the best tourist attractions. Value for Money,positive,2,17,169,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,15.0,0.0,"Positive indicators: walking distance, value for money, best",Location,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
"Booked a studio, not even a single thing I found bad. Everything was just amazing, mainly the views I had got studio in 41st floor, amazing. The facilities are amazing they have nice sundeck view on 60th floor b wing nice place for watch sunset. It’s really a luxurious style of apartment with very affordable cost.",translation_package_not_installed,False,"Booked a studio, not even a single thing I found bad. Everything was just amazing, mainly the views I had got studio in 41st floor, amazing. The facilities are amazing they have nice sundeck view on 60th floor b wing nice place for watch sunset. It’s really a luxurious style of apartment with very affordable cost.",booked a studio not even a single thing i found bad everything was just amazing mainly the views i had got studio in st floor amazing the facilities are amazing they have nice sundeck view on th floor b wing nice place for watch sunset it s really a luxurious style of apartment with very affordable cost,"Booked a studio, not even a single thing I found bad. Everything was just amazing, mainly the views I had got studio in 41st floor, amazing. The facilities are amazing they have nice sundeck view on 60th floor b wing nice place for watch sunset. It’s really a luxurious style of apartment with very affordable cost.",positive,2,57,148,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,22.0,2.5,"Positive indicators: affordable, amazing, nice; minor issue(s): bad",General,No major risk detected,General traveller suitability,No major improvement issue detected
By far the best host in the same property. Very clean n well maintained unit.,translation_package_not_installed,False,By far the best host in the same property. Very clean n well maintained unit.,by far the best host in the same property very clean n well maintained unit,By far the best host in the same property. Very clean n well maintained unit.,positive,2,15,202,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,11.0,0.0,"Positive indicators: very clean, clean, best",Cleanliness,No major risk detected,General traveller suitability,No major improvement issue detected
"Can’t remember how many times I’ve stayed at NaiBnB however this was my first time staying in Block A. The layout looks more spacious. As usual, the design of the unit is always beautiful and clean.",translation_package_not_installed,False,"Can’t remember how many times I’ve stayed at NaiBnB however this was my first time staying in Block A. The layout looks more spacious. As usual, the design of the unit is always beautiful and clean.",can t remember how many times i ve stayed at naibnb however this was my first time staying in block a the layout looks more spacious as usual the design of the unit is always beautiful and clean,"Can’t remember how many times I’ve stayed at NaiBnB however this was my first time staying in Block A. The layout looks more spacious. As usual, the design of the unit is always beautiful and clean.",positive,2,38,201,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,13.5,0.0,"Positive indicators: beautiful, spacious, clean",Cleanliness,No major risk detected,General traveller suitability,No major improvement issue detected
Clean an nice enviroment.,translation_package_not_installed,False,Clean an nice enviroment.,clean an nice environment,Clean an nice environment.,positive,2,4,175,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,5.0,0.0,"Positive indicators: clean, nice",Cleanliness,No major risk detected,General traveller suitability,No major improvement issue detected
Clean and good location,translation_package_not_installed,False,Clean and good location,clean and good location,Clean and good location,positive,2,4,200,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,8.0,0.0,"Positive indicators: good location, clean, good",Location; Cleanliness,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
"Cleanliness is superb, view is awesome, host is accommodating. Just perfect stay. We extended and didn't want to transfer hotel but we needed to go to other city. This place is awesome!",translation_package_not_installed,False,"Cleanliness is superb, view is awesome, host is accommodating. Just perfect stay. We extended and didn't want to transfer hotel but we needed to go to other city. This place is awesome!",cleanliness is superb view is awesome host is accommodating just perfect stay we extended and did not want to transfer hotel but we needed to go to other city this place is awesome,"Cleanliness is superb, view is awesome, host is accommodating. Just perfect stay. We extended and didn't want to transfer hotel but we needed to go to other city. This place is awesome!",positive,2,33,153,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,19.75,0.0,"Positive indicators: accommodating, perfect, awesome",Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
