ID,Hotel_name,Hotel_Address,area,Source,Original_Review,Detected_Language,Translated_Review,Review_Without_Emoji,Cleaned_Text,BERT_Text,sentiment,Original_Sentiment,risk_type,Traveller_Suitability,Improvement_Area,Aspect,Emoji_Sentiment,Positive_Emoji_Signals,Negative_Emoji_Signals,Neutral_Emoji_Signals,All_Emoji_Detected,Emoji_Count,Emoji_Signal_Count,Needs_Translation,Was_Translated,Has_Emoji,Has_Emoji_Sentiment_Signal,Review_Length_Characters,Review_Length_Words,Is_Duplicate_Review,Review,Original_Area
1,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",klcc,agoda,"The location is great, the rooftop infinity pool faces the Kuala Lumpur Tower and provides a view of part of the Petronas Towers. It would look stunning on a clear day with blue skies and white clouds. The apartment has high ceilings and a spacious dining and living area, making it quite comfortable to stay in. However, the small bedroom lacks windows, which affects natural light. Additionally, the rooftop restaurant is nice with great views and delicious food. The only downside was that after I paid with Alipay, the transfer to the restaurant was very slow, taking over an hour and slightly impacting my subsequent plans.",en,"The location is great, the rooftop infinity pool faces the Kuala Lumpur Tower and provides a view of part of the Petronas Towers. It would look stunning on a clear day with blue skies and white clouds. The apartment has high ceilings and a spacious dining and living area, making it quite comfortable to stay in. However, the small bedroom lacks windows, which affects natural light. Additionally, the rooftop restaurant is nice with great views and delicious food. The only downside was that after I paid with Alipay, the transfer to the restaurant was very slow, taking over an hour and slightly impacting my subsequent plans.","The location is great, the rooftop infinity pool faces the Kuala Lumpur Tower and provides a view of part of the Petronas Towers. It would look stunning on a clear day with blue skies and white clouds. The apartment has high ceilings and a spacious dining and living area, making it quite comfortable to stay in. However, the small bedroom lacks windows, which affects natural light. Additionally, the rooftop restaurant is nice with great views and delicious food. The only downside was that after I paid with Alipay, the transfer to the restaurant was very slow, taking over an hour and slightly impacting my subsequent plans.",the location is great the rooftop infinity pool faces the kuala lumpur tower and provides a view of part of the petronas towers it would look stunning on a clear day with blue skies and white clouds the apartment has high ceilings and a spacious dining and living area making it quite comfortable to stay in however the small bedroom lacks windows which affects natural light additionally the rooftop restaurant is nice with great views and delicious food the only downside was that after i paid with alipay the transfer to the restaurant was very slow taking over an hour and slightly impacting my subsequent plans,"The location is great, the rooftop infinity pool faces the Kuala Lumpur Tower and provides a view of part of the Petronas Towers. It would look stunning on a clear day with blue skies and white clouds. The apartment has high ceilings and a spacious dining and living area, making it quite comfortable to stay in. However, the small bedroom lacks windows, which affects natural light. Additionally, the rooftop restaurant is nice with great views and delicious food. The only downside was that after I paid with Alipay, the transfer to the restaurant was very slow, taking over an hour and slightly impacting my subsequent plans.",positive,positive,Booking/Payment Risk,Leisure Travellers,"Check-in, Booking & Payment Process",Food & Breakfast,No emoji signal,,,,,0,0,False,False,False,False,628,106,False,"The location is great, the rooftop infinity pool faces the Kuala Lumpur Tower and provides a view of part of the Petronas Towers. It would look stunning on a clear day with blue skies and white clouds. The apartment has high ceilings and a spacious dining and living area, making it quite comfortable to stay in. However, the small bedroom lacks windows, which affects natural light. Additionally, the rooftop restaurant is nice with great views and delicious food. The only downside was that after I paid with Alipay, the transfer to the restaurant was very slow, taking over an hour and slightly impacting my subsequent plans.",klcc
2,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",klcc,agoda,"The room is good, large, spacious, clean, and worth the money spent. The location is easily accessible and in the city center, with a view of the twin towers as well.",en,"The room is good, large, spacious, clean, and worth the money spent. The location is easily accessible and in the city center, with a view of the twin towers as well.","The room is good, large, spacious, clean, and worth the money spent. The location is easily accessible and in the city center, with a view of the twin towers as well.",the room is good large spacious clean and worth the money spent the location is easily accessible and in the city center with a view of the twin towers as well,"The room is good, large, spacious, clean, and worth the money spent. The location is easily accessible and in the city center, with a view of the twin towers as well.",positive,positive,Low Risk,Budget Travellers,No Major Improvement Needed,Location & Accessibility,No emoji signal,,,,,0,0,False,False,False,False,166,31,False,"The room is good, large, spacious, clean, and worth the money spent. The location is easily accessible and in the city center, with a view of the twin towers as well.",klcc
3,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",klcc,agoda,"Our family has 2 adults and three children, the room is very suitable for us, with full amenities, clean and well-maintained every day. When I return to Malaysia, I will definitely choose this place as my stopover again.",en,"Our family has 2 adults and three children, the room is very suitable for us, with full amenities, clean and well-maintained every day. When I return to Malaysia, I will definitely choose this place as my stopover again.","Our family has 2 adults and three children, the room is very suitable for us, with full amenities, clean and well-maintained every day. When I return to Malaysia, I will definitely choose this place as my stopover again.",our family has 2 adults and three children the room is very suitable for us with full amenities clean and well maintained every day when i return to malaysia i will definitely choose this place as my stopover again,"Our family has 2 adults and three children, the room is very suitable for us, with full amenities, clean and well-maintained every day. When I return to Malaysia, I will definitely choose this place as my stopover again.",positive,positive,Low Risk,Family Travellers,No Major Improvement Needed,Room & Comfort,No emoji signal,,,,,0,0,False,False,False,False,220,39,False,"Our family has 2 adults and three children, the room is very suitable for us, with full amenities, clean and well-maintained every day. When I return to Malaysia, I will definitely choose this place as my stopover again.",klcc
4,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",klcc,agoda,"I was able to enjoy the pool comfortably during both day and night. Since the scenery changes, it was a double enjoyment. The executive suite room had three beds, and my two middle school sons shared one king bed. It was very spacious, and we were able to stay comfortably. Even when there were issues, they responded quickly, and the staff was really wonderful.",en,"I was able to enjoy the pool comfortably during both day and night. Since the scenery changes, it was a double enjoyment. The executive suite room had three beds, and my two middle school sons shared one king bed. It was very spacious, and we were able to stay comfortably. Even when there were issues, they responded quickly, and the staff was really wonderful.","I was able to enjoy the pool comfortably during both day and night. Since the scenery changes, it was a double enjoyment. The executive suite room had three beds, and my two middle school sons shared one king bed. It was very spacious, and we were able to stay comfortably. Even when there were issues, they responded quickly, and the staff was really wonderful.",i was able to enjoy the pool comfortably during both day and night since the scenery changes it was a double enjoyment the executive suite room had three beds and my two middle school sons shared one king bed it was very spacious and we were able to stay comfortably even when there were issues they responded quickly and the staff was really wonderful,"I was able to enjoy the pool comfortably during both day and night. Since the scenery changes, it was a double enjoyment. The executive suite room had three beds, and my two middle school sons shared one king bed. It was very spacious, and we were able to stay comfortably. Even when there were issues, they responded quickly, and the staff was really wonderful.",positive,positive,Low Risk,Leisure Travellers,No Major Improvement Needed,Room & Comfort,No emoji signal,,,,,0,0,False,False,False,False,362,64,False,"I was able to enjoy the pool comfortably during both day and night. Since the scenery changes, it was a double enjoyment. The executive suite room had three beds, and my two middle school sons shared one king bed. It was very spacious, and we were able to stay comfortably. Even when there were issues, they responded quickly, and the staff was really wonderful.",klcc
5,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",klcc,agoda,"A very comfortable hotel with a strategic location and friendly service, plus spacious rooms. Highly recommended for those on vacation in Kuala Lumpur.",en,"A very comfortable hotel with a strategic location and friendly service, plus spacious rooms. Highly recommended for those on vacation in Kuala Lumpur.","A very comfortable hotel with a strategic location and friendly service, plus spacious rooms. Highly recommended for those on vacation in Kuala Lumpur.",a very comfortable hotel with a strategic location and friendly service plus spacious rooms highly recommended for those on vacation in kuala lumpur,"A very comfortable hotel with a strategic location and friendly service, plus spacious rooms. Highly recommended for those on vacation in Kuala Lumpur.",positive,positive,Low Risk,Leisure Travellers,No Major Improvement Needed,Location & Accessibility,No emoji signal,,,,,0,0,False,False,False,False,151,23,False,"A very comfortable hotel with a strategic location and friendly service, plus spacious rooms. Highly recommended for those on vacation in Kuala Lumpur.",klcc
6,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",klcc,agoda,"The accommodation is spacious and comfortable. There is a lot of storage space. The room has a washer-dryer and a hot plate. There is a microwave and some dining utensils, making it very convenient, along with daily provided amenities, water, and towels. The swimming pool is on the 50th floor, and the view is amazing and great. Of course, the staff's friendliness is a given.",en,"The accommodation is spacious and comfortable. There is a lot of storage space. The room has a washer-dryer and a hot plate. There is a microwave and some dining utensils, making it very convenient, along with daily provided amenities, water, and towels. The swimming pool is on the 50th floor, and the view is amazing and great. Of course, the staff's friendliness is a given.","The accommodation is spacious and comfortable. There is a lot of storage space. The room has a washer-dryer and a hot plate. There is a microwave and some dining utensils, making it very convenient, along with daily provided amenities, water, and towels. The swimming pool is on the 50th floor, and the view is amazing and great. Of course, the staff's friendliness is a given.",the accommodation is spacious and comfortable there is a lot of storage space the room has a washer dryer and a hot plate there is a microwave and some dining utensils making it very convenient along with daily provided amenities water and towels the swimming pool is on the 50th floor and the view is amazing and great of course the staff is friendliness is a given,"The accommodation is spacious and comfortable. There is a lot of storage space. The room has a washer-dryer and a hot plate. There is a microwave and some dining utensils, making it very convenient, along with daily provided amenities, water, and towels. The swimming pool is on the 50th floor, and the view is amazing and great. Of course, the staff's friendliness is a given.",positive,positive,Low Risk,Leisure Travellers,No Major Improvement Needed,Room & Comfort,No emoji signal,,,,,0,0,False,False,False,False,377,67,False,"The accommodation is spacious and comfortable. There is a lot of storage space. The room has a washer-dryer and a hot plate. There is a microwave and some dining utensils, making it very convenient, along with daily provided amenities, water, and towels. The swimming pool is on the 50th floor, and the view is amazing and great. Of course, the staff's friendliness is a given.",klcc
7,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",klcc,agoda,"We recently stayed at their 1 bedroom executive studio and we loved it. It was spacious had all the amenities and the view was amazing 🤩we were on the 41st floor. The studio had 3 AC’s, walking closet, study room, living room, kitchen, a bedroom, a huge bathroom.. the only downside was the upfront security deposit of 500MYR that will be refunded to you after check out, apart from that we didn’t have any issues.",en,"We recently stayed at their 1 bedroom executive studio and we loved it. It was spacious had all the amenities and the view was amazing 🤩we were on the 41st floor. The studio had 3 AC’s, walking closet, study room, living room, kitchen, a bedroom, a huge bathroom.. the only downside was the upfront security deposit of 500MYR that will be refunded to you after check out, apart from that we didn’t have any issues.","We recently stayed at their 1 bedroom executive studio and we loved it. It was spacious had all the amenities and the view was amazing 🤩we were on the 41st floor. The studio had 3 AC’s, walking closet, study room, living room, kitchen, a bedroom, a huge bathroom.. the only downside was the upfront security deposit of 500MYR that will be refunded to you after check out, apart from that we didn’t have any issues.",we recently stayed at their 1 bedroom executive studio and we loved it it was spacious had all the amenities and the view was amazing we were on the 41st floor the studio had 3 ac s walking closet study room living room kitchen a bedroom a huge bathroom the only downside was the upfront security deposit of 500myr that will be refunded to you after check out apart from that we didn t have any issues,"We recently stayed at their 1 bedroom executive studio and we loved it. It was spacious had all the amenities and the view was amazing 🤩we were on the 41st floor. The studio had 3 AC’s, walking closet, study room, living room, kitchen, a bedroom, a huge bathroom.. the only downside was the upfront security deposit of 500MYR that will be refunded to you after check out, apart from that we didn’t have any issues.",neutral,neutral,Booking/Payment Risk,Leisure Travellers,"Check-in, Booking & Payment Process",Room & Comfort,Positive,🤩,,,,0,1,False,False,False,True,414,77,False,"We recently stayed at their 1 bedroom executive studio and we loved it. It was spacious had all the amenities and the view was amazing 🤩we were on the 41st floor. The studio had 3 AC’s, walking closet, study room, living room, kitchen, a bedroom, a huge bathroom.. the only downside was the upfront security deposit of 500MYR that will be refunded to you after check out, apart from that we didn’t have any issues.",klcc
8,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",klcc,agoda,We enjoy the stay.. Very easy on check in and check out.. Value for money stay at the heart of KL,en,We enjoy the stay.. Very easy on check in and check out.. Value for money stay at the heart of KL,We enjoy the stay.. Very easy on check in and check out.. Value for money stay at the heart of KL,we enjoy the stay very easy on check in and check out value for money stay at the heart of kl,We enjoy the stay.. Very easy on check in and check out.. Value for money stay at the heart of KL,positive,positive,Low Risk,Budget Travellers,No Major Improvement Needed,Staff & Service,No emoji signal,,,,,0,0,False,False,False,False,97,21,False,We enjoy the stay.. Very easy on check in and check out.. Value for money stay at the heart of KL,klcc
9,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",klcc,agoda,Great location and staffs were friendly throughout my stay. Rooms were spacious and clean.,en,Great location and staffs were friendly throughout my stay. Rooms were spacious and clean.,Great location and staffs were friendly throughout my stay. Rooms were spacious and clean.,great location and staffs were friendly throughout my stay rooms were spacious and clean,Great location and staffs were friendly throughout my stay. Rooms were spacious and clean.,positive,positive,Low Risk,Leisure Travellers,No Major Improvement Needed,Location & Accessibility,No emoji signal,,,,,0,0,False,False,False,False,90,14,False,Great location and staffs were friendly throughout my stay. Rooms were spacious and clean.,klcc
10,DeFace Platinum Kuala Lumpur,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",klcc,agoda,"We stayed for two nights, and during our stay, the child broke a glass. The staff immediately arranged for cleaning, even though it was already 1 AM, and they even reassured us not to worry about any extra costs or compensation. It was truly a very thoughtful service. The location of the accommodation was very convenient, the room was clean and comfortable, and the staff arranged everything quickly when we had requests. It was a fantastic experience, and we will choose this place again next time.",en,"We stayed for two nights, and during our stay, the child broke a glass. The staff immediately arranged for cleaning, even though it was already 1 AM, and they even reassured us not to worry about any extra costs or compensation. It was truly a very thoughtful service. The location of the accommodation was very convenient, the room was clean and comfortable, and the staff arranged everything quickly when we had requests. It was a fantastic experience, and we will choose this place again next time.","We stayed for two nights, and during our stay, the child broke a glass. The staff immediately arranged for cleaning, even though it was already 1 AM, and they even reassured us not to worry about any extra costs or compensation. It was truly a very thoughtful service. The location of the accommodation was very convenient, the room was clean and comfortable, and the staff arranged everything quickly when we had requests. It was a fantastic experience, and we will choose this place again next time.",we stayed for two nights and during our stay the child broke a glass the staff immediately arranged for cleaning even though it was already 1 am and they even reassured us not to worry about any extra costs or compensation it was truly a very thoughtful service the location of the accommodation was very convenient the room was clean and comfortable and the staff arranged everything quickly when we had requests it was a fantastic experience and we will choose this place again next time,"We stayed for two nights, and during our stay, the child broke a glass. The staff immediately arranged for cleaning, even though it was already 1 AM, and they even reassured us not to worry about any extra costs or compensation. It was truly a very thoughtful service. The location of the accommodation was very convenient, the room was clean and comfortable, and the staff arranged everything quickly when we had requests. It was a fantastic experience, and we will choose this place again next time.",positive,positive,Low Risk,Family Travellers,No Major Improvement Needed,Staff & Service,No emoji signal,,,,,0,0,False,False,False,False,501,86,False,"We stayed for two nights, and during our stay, the child broke a glass. The staff immediately arranged for cleaning, even though it was already 1 AM, and they even reassured us not to worry about any extra costs or compensation. It was truly a very thoughtful service. The location of the accommodation was very convenient, the room was clean and comfortable, and the staff arranged everything quickly when we had requests. It was a fantastic experience, and we will choose this place again next time.",klcc
