Text,Actual_Label,Predicted_Label,Correct,Confidence,Prob_Negative,Prob_Neutral,Prob_Positive
"Pros: 1. Clean room 2. Huge enough bathtub for 3 kids to enjoy 3. Accessible location to train station 4. Staffs on WhatsApp replied promptly to feedback and tried to rectify some issues. 5. Functioning washer dryer 6. Comfortable pillows, clean towels Cons: 1. Front desk lady needs to smile more. Her stressful face was evident. 2. Staff nailed down the master room toilet door as it's faulty thus toilet door can't be locked. 3. Bathtub was choked thus took a while for water to filter out. 4. Water heater can only be used if you use less water. 5. Sofa was without back support so it was uncomfortable to sit for long. 6. King bed was hard",positive,neutral,False,0.4089866,0.18205702,0.4089866,0.40895638
"When the company employed a foreigner as a frontrunner, we looked not good for Malaysia's image as a country full of respect and appreciation for others.",neutral,negative,False,0.7444452,0.7444452,0.22865276,0.026901979
"I was supposed to get a deluxe room, but when I wanted to check in, the hotel staff told me there was a problem with the deluxe room and I was given a standard room. they said tomorrow we can move the room, but when I asked the morning shift staff about this, she didn't seem to know anything. I am very dissatisfied with the service provided. the standard room is very narrow and I don't think it's worth the price given. I will not promote this hotel to anyone.",neutral,negative,False,0.8567285,0.8567285,0.12986474,0.013406773
"Where do i start? Let me start with the check in process. It was haywire.. This is not a hotel but a residence. Firstly, i was not informed that we cannot check in at the check in counter. Instead we had to go look for the agent (who apparently, when we arrived had gone for lunch) we had to wait for the agent for 20 minutes to check in!!! Then the check out process is another haywire thing. We were not aware that you cannot bring 2 cars (nothing written in the terms and condition) . Only at check in my husband were told and by then we already came here in 2 cars and too late to plan our arrival for only 1 car. Pls be aware that the parking here, cost me another RM32.00.",neutral,negative,False,0.80912215,0.80912215,0.17316186,0.01771598
"This hotel is really not in the city of Bukit Bintang..everything is close by..but it is not suitable for families..because the rooms are small even if they are for families..for solo/couples/couples or just a stopover is okay...btw staff, cleanliness..everything is good..the hotel is comfortable..recommended if you want a budget hotel..booking through agoda can be very cheap..hehehe",positive,negative,False,0.5595431,0.5595431,0.33755964,0.102897294
Everything is okay except the room and toilet is super tiny.,neutral,positive,False,0.4517639,0.1862977,0.3619384,0.4517639
"Suitable for solo travelers with a low budget and lively location. The hotel location is a bit difficult to find even with Google Maps. In my room, I found that the TV was broken, and the toilet couldn’t flush fully, causing waste to stagnate. Overall, it’s low-budget and the location is excellent. Facilities need to be improved for complete comfort.",neutral,negative,False,0.62624913,0.62624913,0.27988303,0.09386785
The location is great but the queue for the lifts was super long! There's 3 lifts but only 2 lifts were working. Locating the block after collecting the keys was confusing especially the lift key instructions. Grab drop offs weren't even allowed to drop inside the block. Shower drained kept clogging and there's a weird smell in the rooms and toilet. Check-in experience was annoying since they informed me that it got delayed more than 2 hours due to heavy cleaning day. I had to call them a couple of times to be sure my room was ready for check-in.,neutral,negative,False,0.7745744,0.7745744,0.18657602,0.038849626
The room bedroom comfort but there is not hot water for shower in my room. Kindly have a check any problem on hot water system. Next time will be choosing this accommodation. Thank you.,neutral,negative,False,0.5426639,0.5426639,0.40130892,0.056027178
Room very small,negative,neutral,False,0.5330678,0.35601592,0.5330678,0.11091621
It's very good to walk from the door to the center of Bukit Bintng,neutral,positive,False,0.7868588,0.017669745,0.19547148,0.7868588
"Strategies location easy to access for local transportation, monorail, lrt, kliaekspres, shopping complex, many nearby halal eateries",neutral,positive,False,0.4909092,0.020648932,0.48844185,0.4909092
Rooms and washrooms are too small. Staff was too kind but house keeping service is not good i spent 5 nights over there but they clean my room only 1 time after forcefully order him. But the location is too good. I recommend this hotel just because of his location.,neutral,negative,False,0.75765127,0.75765127,0.19643739,0.045911323
Nice location! Very accommodating staff.,neutral,positive,False,0.9394205,0.011768373,0.048811182,0.9394205
