Text,Actual_Label,Predicted_Label,Correct,Confidence,Prob_Negative,Prob_Neutral,Prob_Positive
Agooda not good and lie because when reach hotel not found deface platinum suits but I founded residence & no clean please no body book by a gooda,neutral,negative,False,0.7970891,0.7970891,0.19202025,0.010890673
The place is good but in a way to improve your rooms it has to be clean much more than what it is since we were annoyed from some mosquitoes there and that was the most important part and toilet need to clean much more tq,positive,neutral,False,0.46664232,0.15124163,0.46664232,0.38211602
the express room has cockroaches issues. Need to be tackle this infestation issue.,neutral,negative,False,0.6837833,0.6837833,0.30340382,0.012812947
Until now my deposit not yet returned.,negative,neutral,False,0.7792334,0.19556008,0.7792334,0.025206491
"Stayed here the first time in May 2026, and totally impressed by the cleanliness of the place of stay, how well equipped it was and a facility that was free for use and 5 star level. Decided to come again in June with the family, for a week long vacation and the impression was still ever lasting! Customer service is prompt and they genuinely care to provide hospitality. Now there is a place that is so home away from home, each time I am coming back to KL!",neutral,positive,False,0.93412817,0.0073109786,0.058560867,0.93412817
The apartment was nice and clean. Getting the keys was easy. The elevator was a big problem. The card did not work well and it was very frustrating trying to go up and down. Also the apartment had no towels so we had to get them from the office. No dish towels either or paper towels for when we accidentally spilled something. The complex was confusing . The apartment was very comfortable for us otherwise.,positive,neutral,False,0.5368186,0.32135594,0.5368186,0.14182544
"Please don't stay here. The TV booth was broken. 2 hour wait from 11pm untill 1am still not okay. Ask for a refund, don't share it. Last time you can change rooms at 2 am. Deposit Rm300 staff inform refund within 24 hours but no refund! After 24 hours calling several times no answer. After informing will report police then get deposit.",neutral,negative,False,0.85088575,0.85088575,0.14197876,0.0071354313
"We order the non smooking room. Yes they gave us that room. But the the host doesn’t told us that the environment around the unit is smooking area. So the smoke of the cigarette entered the unit especially in the bathroom room, living room & main bedroom. I really concerned about this cause I traveled with infant. So i asked to move into another room but They only provide ozone machine installation options. And the room still smells of cigarettes. last, there’s a cockroach below the sink. So i request to give refund & go to find another apartment.",negative,neutral,False,0.64759535,0.33210093,0.64759535,0.020303728
"I'm really impressed that this hotel has a quiet zone, they accommodated to my request of high floor and quiet room. While it's nowhere as fancy or well-equipped as Sunway Resort, I appreciate the cleanliness and attentiveness of housekeeping. The fact that it's linked to the mall (many food and shopping options) made it worthwhile.",neutral,positive,False,0.93600875,0.00655863,0.05743263,0.93600875
Good staff at reception. Other than that everything is normal,neutral,positive,False,0.7845735,0.01185637,0.20357007,0.7845735
"The room is not well taken care off. The building looks dodgy- no6 safe for a girl to live alone.. There was a funky smell from the bathroom, cupboards mouldy.. Better effort needs to be taken",neutral,negative,False,0.9120019,0.9120019,0.08274184,0.0052562146
"Value staying, strategy location.",positive,neutral,False,0.6974876,0.03989396,0.6974876,0.26261848
Unexpected.. Cheap price but very beautiful. Room level 11 has a beautiful view. Please check out before 12 o'clock if there is still a charge of RM 50. In 1.10 minutes there will be charge no. 2.. so in total I pay RM 100. So take note guys.. overall okay..,neutral,positive,False,0.8149818,0.0076713967,0.17734675,0.8149818
