no,sentence,sentiment,source,location,Confidence,Positive Score,Negative Score,Reason / Notes,Aspect(s),Risk Type(s),Traveller Suitability,Hotel Improvement Insight
1,"Right next to MRT station, the reception is very nice. The entrance has a lock so it feels safe, the room is very clean too.",positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.98,0.08,"Positive wording is stronger than negative wording; main aspect(s): Cleanliness, Staff / Service, Location, Facilities, Room Comfort.","Cleanliness, Staff / Service, Location, Facilities, Room Comfort",Low Risk,Suitable for tourists and shoppers who want a central Bukit Bintang location.,Maintain location-based selling points and highlight nearby attractions.
2,Good for a budget stay. Excellent location. There is NO table as promised though. Apparently only early check ins will get the table. Don’t market as table provided.,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.8,0.08,"Positive wording is stronger than negative wording; main aspect(s): Staff / Service, Location, Value / Price.","Staff / Service, Location, Value / Price",Low Risk,Suitable for tourists and shoppers who want a central Bukit Bintang location.,Maintain location-based selling points and highlight nearby attractions.
3,"Me gustó el lugar, la habitación no es grande pero tiene todo lo necesario. La ubicación si es excelente, cerca a metro, monorriel, restaurantes, de todo.",positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.72,0.08,Positive wording is stronger than negative wording; main aspect(s): General Experience.,General Experience,Low Risk,Suitable for general short-stay travellers.,Maintain the strengths mentioned by guests.
4,Sofia helping me a lot,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.72,0.08,Positive wording is stronger than negative wording; main aspect(s): General Experience.,General Experience,Low Risk,Suitable for general short-stay travellers.,Maintain the strengths mentioned by guests.
5,We enjoy the stay.. Very easy on check in and check out.. Value for money stay at the heart of KL,positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,7,0,"Positive indicators: value for money, enjoy",Service,Service Risk,General traveller suitability,Improve front desk/staff service training
6,"1. Bilik memang betul-betul hotel bajet. Tapi dengan harga yang dikenakan, jangkaan saya turun bila dapat bilik dengan saiz yg kecil beserta bilik air begitu. 2. Saiz katil untuk orang tinggi tidak sesuai. Tapi masih selesai untuk tidur. 3. Television tak boleh fungsi. 4. Wifi sangat lemah. Mobile data rendah dekat dalam bilik, hanya harapkan wifi tapi connection sangat lemah. 5. Parkir terbuka agak jauh. Visitor kena jalan sedikit. 6. Dekat dengan kawasan tarikan yang lain, boleh berjalan kaki. 7. Pintu bilik tak kedap bunyi. Rasa insecure dengan orang lalu lalang depan bilik.",positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.72,0.08,"Positive wording is stronger than negative wording; main aspect(s): Facilities, Room Comfort.","Facilities, Room Comfort",Low Risk,Suitable for general short-stay travellers.,Maintain the strengths mentioned by guests.
7,"I booked a Deluxe Queen, but the staff gave me a Standard Queen and insisted it was deluxe when I questioned it. (But he did let me change rooms afterward, so that was resolved.) In the first room, we couldn’t lock the toilet door. In the second room, we found a used kain pelikat in the bathroom??? hahh? We also left the AC on, but when we came back, it had been turned off. Which means someone entered our room. (Why are you coming into our room?) nothing missing, but why ha Note: - If you’re a solo traveler, have no car, and just need a place to sleep, then it’s okay ler - Cause the nearest parking is at Plaza Low Yat, and it cost me RM22 over night. - The hotel is near Sungei Wang, so if you’re attending a concert, the location is quite convenient. - The water pressure is nice (thank God).",positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.8,0.08,"Positive wording is stronger than negative wording; main aspect(s): Cleanliness, Staff / Service, Location, Facilities, Room Comfort.","Cleanliness, Staff / Service, Location, Facilities, Room Comfort",Low Risk,Suitable for tourists and shoppers who want a central Bukit Bintang location.,Maintain location-based selling points and highlight nearby attractions.
8,"I had a really great stay at this serviced apartment. The location is perfect there’s a shopping mall nearby within walking distance, which made everything super convenient. The room was very clean, spacious, and had everything I needed during my stay. The host was also amazing. Whenever I had any questions, they replied very quickly and I never had to wait long for help or information. Overall, this place was excellent and I would definitely recommend it to anyone visiting the area. I would happily stay here again",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,34,0,"Positive indicators: walking distance, convenient, very clean",Location; Cleanliness,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
9,"The apartment unit was clean and well equipped. Elevator may be slow at peak morning time. Location is good, walkable to many f&b...Pavilion and TRX. Key collection is also easy, with clear instructions. 1 of the bedroom has no window, the blanket was also too small for 2 person to share.",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,5,0,"Positive indicators: clean, good",Location; Cleanliness; Facilities; Accessibility,Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve room facilities and maintenance; Improve front desk/staff service training
10,Very nice and value for money. Easy access to monorail by walking distance,positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,12,0,"Positive indicators: walking distance, value for money, easy access",Location,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
